web-scraper-order,description_raw,location_raw,price_raw,price,mileage_raw,mileage,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733470963-66,FIAT Pilote G740 C,"Rte de Gollion 15, 1305 Penthalaz",CHF 72'900.–,72900,36'000 km,36000,Diesel,1,Thurgau,['20'],47.54833221435547,8.849271774291992
1733470965-67,LAIKA,"Tannbachstrasse 2, 6264 Pfaffnau",CHF 23'900.–,23900,163'290 km,163290,Diesel,1,Nidwalden,['07'],46.965248107910156,8.383917808532715
1733470968-68,VW T4 california,"schwarzenburgstrasse 844, 3145 Niederscherli-Bern",CHF 17'000.–,17000,300'000 km,300000,Diesel,1,Graubünden,['18'],46.955711364746094,9.570183753967285
1733470970-69,CHALLENGER 620,1350 Orbe,CHF 22'500.–,22500,139'890 km,139890,Diesel,1,Zürich,['01'],47.382022857666016,8.666350364685059
1733470973-70,DETHLEFFS Fiat 3L Iveco,"Dorf 10, 9127 St. Peterzell",CHF 59'800.–,59800,57'000 km,57000,Diesel,1,Basel-Landschaft,['13'],47.523582458496094,7.711702823638916
1733470977-72,ROLLER TEAM Zefiro 285 TL15,"Hauptstrasse 70, 8546 Islikon",CHF 64'890.–,64890,31'300 km,31300,Diesel,1,Fribourg,['10'],46.71854782104492,6.959683418273926
1733470982-73,MERCEDES-BENZ 312D Kaiser,"Rieden 10, 6370 Stans",CHF 21'800.–,21800,154'000 km,154000,Diesel,1,Fribourg,['10'],46.62849044799805,7.060698986053467
1733470988-75,FIAT i675,"Industriestrasse 6, 8604 Volketswil",CHF 30'000.–,30000,111'000 km,111000,Diesel,1,Fribourg,['10'],46.8519401550293,6.990228176116943
1733470991-76,SUN LIVING V-SERIES V60 SP TenTop (A245),"Wannenweg 1, 4133 Pratteln",CHF 65'900.–,65900,22'000 km,22000,Diesel,1,Fribourg,['10'],46.82259750366211,7.301876544952393
1733470993-77,FIAT 290 / 14,"Murtenstrasse 59, 1784 Courtepin (Kanton Freiburg)",CHF 4'800.–,4800,151'000 km,151000,Diesel,1,Valais,['23'],46.222537994384766,7.293209552764893
1733470995-78,VW T6.1 California 2.0 TDI Ocean Liberty 4Motion,"Route de la Gare 62, 1690 Villaz-St-Pierre",CHF 69'000.–,69000,98'000 km,98000,Diesel,1,Solothurn,['11'],47.18832778930664,7.554986000061035
1733470998-79,VW Cali. BiTDI Oce. Lib 4M A,"Rue de Vuippens 57, 1630 Bulle",CHF 79'900.–,79900,12'300 km,12300,Diesel,1,St. Gallen,['17'],47.31846237182617,9.172804832458496
1733471000-80,MERCEDES-BENZ Sprinter 212 D,"schwarzenburgstrasse 844, 3145 Niederscherli-Bern",CHF 7'999.–,7999,40'000 km,40000,Diesel,1,Thurgau,['20'],47.54833221435547,8.849271774291992
1733471003-81,FIAT KNAUS célébrât 650meg,"Rue Centrale 7, 1563 Dompierre FR",CHF 41'900.–,41900,182'000 km,182000,Diesel,1,Graubünden,['18'],46.955711364746094,9.570183753967285
1733471005-82,VW Cali. TDI Bea.Ed. Sp. A,"Spisi 9, 1714 Heitenried",CHF 67'000.–,67000,14'300 km,14300,Diesel,1,Zürich,['01'],47.31379699707031,8.796833038330078
1733471007-83,FIAT challenger trigano,"Rue Du Levant 21, 1963 Vétroz",CHF 17'990.–,17990,224'000 km,224000,Diesel,1,Zürich,['01'],47.31379699707031,8.796833038330078
1733471010-84,FIAT Ducato 15Q 2.8 JTD,"gewerbestrasse 16, 4562 Biberist",CHF 19'500.–,19500,115'000 km,115000,Diesel,1,Bern,['02'],47.070011138916016,7.203824520111084
1733471017-86,TOYOTA 4x4 Untersetzung,"Dorf 10, 9127 St. Peterzell",CHF 34'800.–,34800,16'700 km,16700,Benzin,0,Bern,['02'],47.070011138916016,7.203824520111084
1733471019-87,ROLLER TEAM Kronos 265 TL7,"Hauptstrasse 70, 8546 Islikon",CHF 62'870.–,62870,38'850 km,38850,Diesel,1,Bern,['02'],47.070011138916016,7.203824520111084
1733471023-88,SUNLIGHT Adventure T Ford 680,"Obermühleweg 5, 7302 Landquart",CHF 68'000.–,68000,20'000 km,20000,Diesel,1,Schwyz,['05'],47.03178024291992,8.624926567077637
1733471032-92,VW T4 California,"Burrirain 56a, 2575 Täuffelen",CHF 21'900.–,21900,136'000 km,136000,Diesel,1,Thurgau,['20'],47.56602096557617,9.091235160827637
1733471037-93,VW transporter,"Rue Centrale 7, 1563 Dompierre FR",CHF 13'900.–,13900,188'000 km,188000,Diesel,1,Zürich,['01'],47.60587692260742,8.68687629699707
1733471039-94,VW California 4x4 Klima,"Burrirain 56a, 2575 Täuffelen",CHF 25'900.–,25900,179'000 km,179000,Benzin,0,Basel-Stadt,['12'],47.570777893066406,7.576108455657959
1733471041-95,VW California,"Burrirain 56a, 2575 Täuffelen",CHF 13'500.–,13500,238'500 km,238500,Diesel,1,Zürich,['01'],47.40155029296875,8.43859577178955
1733471044-96,MERCEDES-BENZ Marco Polo Horizon 250 d 4Matic 7G-Tronic,"Riedmattli 5, 6423 Seewen",CHF 44'000.–,44000,167'500 km,167500,Diesel,1,Bern,['02'],47.23579025268555,7.236842155456543
1733471046-97,VW T5 California 2.0 TDI Beach Last Edition,"via ala Campagna, 6593 Cadenazzo",CHF 39'900.–,39900,58'500 km,58500,Diesel,1,Zürich,['01'],47.31379699707031,8.796833038330078
1733471049-98,CARADO T447 Pro Automat,"Linth-Escherstr. 5a/ 2. OCC Platz Hauptstrasse 61, 8865 Bilten",CHF 78'500.–,78500,12'000 km,12000,Diesel,1,Schwyz,['05'],47.0999870300293,8.67253589630127
1733471051-99,FIAT Camping-car,"Rte d'Autigny 4, 1744 Chénens",CHF 8'000.–,8000,95'000 km,95000,Diesel,1,Luzern,['03'],47.10284423828125,8.376439094543457
1733471053-100,"MERCEDES-BENZ 312D ***mit el. Hubbett(Längsbett), Sondermodel***","Brunnenwiesenstrasse 8, 8570 Weinfelden",CHF 29'900.–,29900,40'000 km,40000,Diesel,1,Thurgau,['20'],47.54833221435547,8.849271774291992
1733471056-101,DETHLEFFS Just Camp T 6812 EB auf Basis Citroen Jumper,"Gewerbestrasse 1, 8451 Kleinandelfingen",CHF 82'600.–,82600,10'000 km,10000,Diesel,1,St. Gallen,['17'],47.47590255737305,9.550376892089844
1733471058-102,VW Westfalia,"Voltastrasse 89, 4056 Basel",CHF 14'900.–,14900,119'499 km,119499,Benzin,0,Thurgau,['20'],47.56113815307617,9.13205337524414
1733471063-104,MERCEDES-BENZ Marco Polo 300 d 4M A,"Goldschlägistrasse 19, 8952 Schlieren",CHF 88'000.–,88000,20'000 km,20000,Diesel,1,St. Gallen,['17'],47.31846237182617,9.172804832458496
1733471066-105,FIAT Pössl,"Clos là Outre 28, 2732 Loveresse",CHF 49'900.–,49900,16'000 km,16000,Diesel,1,St. Gallen,['17'],47.31846237182617,9.172804832458496
1733471068-106,VW T6.1 California Ocean,"Grubenstrasse 24, 8620 Wetzikon",CHF 53'900.–,53900,86'223 km,86223,Diesel,1,Zürich,['01'],47.26015853881836,8.858055114746094
1733471071-107,ROLLER TEAM Liv DUO 2024,"Landstrasse 10, 6418 Rothenthurm",CHF 64'900.–,64900,25'800 km,25800,Diesel,1,Ticino,['21'],46.2071647644043,9.038201332092285
1733471073-108,DETHLEFFS Globebus 11,"Oberfeld 2, 6037 Root",CHF 39'800.–,39800,43'100 km,43100,Diesel,1,Zürich,['01'],47.39076232910156,8.668862342834473
1733471076-109,ROLLER TEAM 284 M2,"Hauptstrasse 70, 8546 Islikon",CHF 52'890.–,52890,37'700 km,37700,Diesel,1,St. Gallen,['17'],47.24024963378906,9.50187873840332
1733471078-110,OPEL Vivaro B 16 CDTi Camper Van,"Buechbergstrasse 10, 9422 Staad SG",CHF 27'500.–,27500,184'822 km,184822,Diesel,1,Zürich,['01'],47.36935806274414,8.42248249053955
1733471081-111,FIAT Bürstner T600 Harmony,"Oberfeldstrasse 13, 8570 Weinfelden",CHF 21'900.–,21900,128'000 km,128000,Diesel,1,Vaud,['22'],46.25091552734375,7.00229549407959
1733471083-112,MERCEDES-BENZ 310 4x4 Untersetzung,"Dorf 10, 9127 St. Peterzell",CHF 35'600.–,35600,38'000 km,38000,Benzin,0,Luzern,['03'],47.03029251098633,8.294075012207031
1733471088-113,LAND ROVER DEFENDER 110 TD5 Wohnkabine,"Dorf 10, 9127 St. Peterzell",CHF 57'900.–,57900,134'000 km,134000,Diesel,1,St. Gallen,['17'],47.31846237182617,9.172804832458496
1733471096-116,MIRAGE Fiat Ducato,"Via San Gottardo 106, 6500 Bellinzona",CHF 27'900.–,27900,129'900 km,129900,Diesel,1,Zürich,['01'],47.45183181762695,8.701164245605469
1733471099-117,VW T2,"Juchstrasse 25, 8604 Volketswil",CHF 14'600.–,14600,55'043 km,55043,Benzin,0,Zürich,['01'],47.382022857666016,8.666350364685059
1733471103-118,VW Hymer Cape Town  Lady Camper,"Sennwalder str 34, 9465 Salez",CHF 35'000.–,35000,207'000 km,207000,Diesel,1,Schaffhausen,['14'],47.741600036621094,8.709936141967773
1733471105-119,VW T6.1 California 2.0 Bi-TDI Ocean Liberty 4Motion,"Bergermoosstrasse 10, 8902 Urdorf",CHF 75'500.–,75500,15'500 km,15500,Diesel,1,Solothurn,['11'],47.15408706665039,7.592122554779053
1733471107-120,FORD Challenger 264,"Rte du Grand-St-Bernard 17, 1880 Bex",CHF 54'900.–,54900,46'500 km,46500,Diesel,1,Thurgau,['20'],47.594444274902344,8.948468208312988
1733471113-122,VW T4,"Werkstrasse 4, 6010 Kriens",CHF 12'900.–,12900,224'569 km,224569,Diesel,1,Thurgau,['20'],47.54833221435547,8.849271774291992
1733471115-123,IVECO 4x4 Offroader,"Dorf 10, 9127 St. Peterzell",CHF 34'800.–,34800,11'800 km,11800,Diesel,1,Zürich,['01'],47.31379699707031,8.796833038330078
1733471117-124,MERCEDES-BENZ 311CDI,"Schwarzenburgstrasse 844, 3145 Bern",CHF 10'500.–,10500,203'000 km,203000,Diesel,1,Aargau,['19'],47.414920806884766,8.382509231567383
1733471120-125,MERCEDES-BENZ 316CDI Ahorn Camp M 730,"Hauptstrasse 87-89b & Voreimatt 99, 4492 Tecknau",CHF 35'990.–,35990,123'000 km,123000,Diesel,1,Basel-Landschaft,['13'],47.523582458496094,7.711702823638916
1733471123-126,HYMER Hymermobil,8310 Kemptthal,CHF 16'990.–,16990,73'000 km,73000,Diesel,1,Zürich,['01'],47.60587692260742,8.68687629699707
1733471125-127,HYMER FIAT WLT 3.0M JET/35,"Industriestrasse 6, 8604 Volketswil",CHF 35'990.–,35990,33'000 km,33000,Diesel,1,Bern,['02'],47.21744155883789,7.783696174621582
1733471130-129,SUNLIGHT V66 mit Einzelbett!,"Hauptstrasse 216, 4565 Recherswil",CHF 59'777.–,59777,42'190 km,42190,Diesel,1,St. Gallen,['17'],47.467018127441406,9.58243179321289
1733471134-130,VW T5 California 2.0 TDI Beach Travel,"Hauptstrasse 3, 8505 Pfyn/TG",CHF 28'900.–,28900,129'300 km,129300,Diesel,1,St. Gallen,['17'],47.31846237182617,9.172804832458496
1733471138-131,DETHLEFFS Just T7052 EB,"Staatsstrasse 49, 9437 Marbach",CHF 59'000.–,59000,19'900 km,19900,Diesel,1,Bern,['02'],47.02757263183594,7.242457866668701
1733471143-132,ROLLER TEAM Zefiro 285 TL13,"Hauptstrasse 70, 8546 Islikon",CHF 61'980.–,61980,26'980 km,26980,Diesel,1,Luzern,['03'],47.040523529052734,8.134263038635254
1733471145-133,"VW Kastenwagen mit festem Hochdach, großem Fahrkomfort und Dusche","Grubenstrasse 24, 8620 Wetzikon",CHF 53'900.–,53900,64'250 km,64250,Diesel,1,Luzern,['03'],47.04475021362305,8.191388130187988
